561934.25	2911463.75	1290.79
561945.69	2911478.75	1290.02
561965.19	2911464.50	1277.30
561925.06	2911493.25	1300.39
561901.38	2911464.00	1300.10
561880.25	2911478.75	1309.32
561921.63	2911449.50	1289.07
561953.75	2911449.75	1278.10
561888.06	2911450.00	1296.75
561908.38	2911435.50	1285.74
561867.00	2911464.75	1306.15
561853.44	2911450.75	1302.27
561874.81	2911436.00	1293.58
561832.19	2911465.75	1311.19
561845.50	2911479.75	1314.50
561818.63	2911452.00	1307.35
561840.38	2911436.75	1299.47
561802.38	2911466.25	1317.40
561803.38	2911467.50	1317.59
561801.81	2911463.75	1316.37
561795.75	2911460.25	1317.05
561785.94	2911452.00	1317.24
561793.00	2911460.25	1317.82
561806.06	2911437.50	1305.82
561774.06	2911437.25	1317.28
561756.13	2911450.50	1333.45
561793.56	2911423.25	1304.51
561827.69	2911422.50	1297.68
561762.56	2911422.25	1318.24
561746.00	2911435.00	1337.46
561780.81	2911408.75	1302.70
561814.06	2911408.75	1293.82
561752.19	2911407.00	1321.75
561735.63	2911419.75	1340.90
561767.94	2911394.75	1300.59
561799.38	2911395.25	1287.78
561741.63	2911391.50	1324.86
561745.88	2911404.50	1325.37
561758.13	2911379.00	1305.44
561785.63	2911381.50	1283.78
561748.38	2911377.75	1314.01
561750.13	2911362.25	1314.32
561742.75	2911382.75	1320.84
561738.75	2911385.75	1325.46
561738.44	2911386.75	1326.11
561739.31	2911376.50	1322.92
561728.19	2911384.25	1335.86
561747.19	2911379.00	1315.43
561747.63	2911377.50	1314.69
561743.13	2911373.75	1319.04
561737.19	2911372.50	1324.30
561736.63	2911372.25	1324.82
561735.88	2911370.00	1325.18
561722.56	2911374.50	1338.66
561735.25	2911365.25	1325.25
561734.94	2911361.25	1325.14
561734.88	2911366.50	1325.61
561733.94	2911366.25	1326.44
561730.38	2911356.25	1328.53
561741.25	2911346.25	1321.24
561728.63	2911356.00	1330.04
561729.94	2911355.25	1328.90
561716.94	2911364.50	1341.57
561711.50	2911354.50	1344.93
561726.63	2911352.25	1331.55
561699.88	2911362.75	1356.41
561705.50	2911372.75	1353.58
561694.44	2911352.75	1359.73
561682.69	2911361.25	1370.98
561706.25	2911344.25	1348.80
561719.69	2911345.50	1337.23
561689.13	2911342.50	1363.56
561677.25	2911351.25	1374.29
561701.19	2911333.75	1353.11
561718.31	2911335.50	1338.32
561684.00	2911332.25	1367.85
561696.19	2911323.50	1357.77
561671.94	2911341.00	1378.09
561666.81	2911330.75	1382.34
561679.06	2911321.75	1372.52
561654.63	2911339.50	1392.27
561659.94	2911349.75	1388.51
561649.50	2911329.25	1396.45
561637.19	2911338.25	1406.03
561661.81	2911320.25	1386.93
561644.44	2911318.75	1400.93
561632.00	2911328.00	1410.13
561656.88	2911309.75	1391.70
561674.13	2911311.25	1377.42
561639.38	2911308.50	1405.51
561626.88	2911317.50	1414.47
561651.94	2911299.25	1396.47
561669.31	2911300.75	1382.42
561634.38	2911298.00	1409.98
561621.75	2911307.25	1418.80
561647.00	2911288.75	1401.08
561664.50	2911290.00	1387.34
561629.25	2911287.75	1414.17
561616.56	2911297.00	1422.89
561641.94	2911278.25	1405.38
561659.63	2911279.50	1392.10
561624.00	2911277.50	1417.95
561611.31	2911286.75	1426.62
561636.81	2911268.00	1409.31
561654.69	2911269.00	1396.62
561618.63	2911267.25	1421.25
561605.81	2911276.75	1429.91
561631.56	2911257.75	1412.99
561649.75	2911258.50	1400.90
561613.31	2911257.00	1424.83
561600.31	2911266.75	1432.94
561626.19	2911247.75	1416.33
561644.56	2911248.25	1404.82
561608.06	2911246.75	1428.59
561595.63	2911256.00	1438.15
561619.94	2911238.25	1417.75
561638.88	2911238.25	1407.71
561614.88	2911237.00	1424.90
561606.75	2911241.75	1432.90
561616.69	2911234.75	1423.52
561618.25	2911232.50	1422.33
561624.63	2911228.00	1417.53
561632.25	2911229.25	1408.55
561626.25	2911227.25	1416.34
561628.50	2911225.75	1414.94
561630.69	2911223.25	1414.38
561637.38	2911218.25	1411.68
561645.69	2911219.50	1403.19
561639.19	2911217.00	1410.94
561651.88	2911229.00	1400.24
561665.25	2911219.00	1394.66
561657.56	2911238.75	1396.99
561670.75	2911229.00	1390.15
561662.63	2911249.00	1392.61
561675.56	2911239.75	1384.49
561667.50	2911259.75	1387.82
561680.13	2911250.50	1378.78
561672.25	2911270.25	1382.95
561684.69	2911261.25	1373.40
561677.00	2911281.00	1378.00
561689.38	2911272.00	1368.23
561681.75	2911291.75	1372.96
561694.06	2911282.75	1363.11
561686.50	2911302.25	1367.83
561698.75	2911293.50	1357.97
561691.31	2911313.00	1362.72
561703.50	2911304.00	1352.78
561708.31	2911314.75	1347.67
561713.25	2911325.25	1342.85
561725.31	2911316.50	1332.49
561727.13	2911326.50	1330.92
561727.25	2911329.00	1330.76
561726.31	2911320.25	1331.59
561732.06	2911330.25	1327.58
561726.56	2911319.00	1331.41
561727.38	2911329.75	1330.64
561722.56	2911336.00	1334.74
561719.81	2911339.00	1337.02
561719.94	2911339.00	1336.91
561718.81	2911344.25	1337.95
561721.56	2911347.25	1335.69
561729.63	2911354.50	1329.16
561760.63	2911332.25	1308.26
561750.94	2911316.50	1313.41
561769.94	2911348.25	1302.14
561790.69	2911333.50	1292.13
561777.88	2911364.75	1293.20
561800.25	2911349.25	1286.63
561808.88	2911365.50	1279.21
561820.19	2911380.50	1277.85
561832.44	2911349.75	1275.39
561842.88	2911365.00	1272.03
561823.13	2911333.75	1281.32
561855.13	2911334.00	1269.53
561810.56	2911319.25	1280.06
561844.06	2911319.00	1271.57
561779.63	2911318.50	1294.32
561797.44	2911305.25	1277.82
561768.81	2911303.25	1297.13
561741.69	2911300.50	1319.72
561728.25	2911310.25	1329.93
561759.13	2911287.25	1302.44
561786.00	2911290.25	1279.23
561732.94	2911284.25	1327.18
561726.31	2911296.75	1332.05
561750.38	2911271.00	1309.82
561776.06	2911274.50	1283.97
561724.19	2911268.00	1334.60
561742.06	2911254.75	1318.31
561724.25	2911276.50	1334.13
561725.75	2911283.50	1332.64
561723.81	2911275.50	1334.51
561722.56	2911276.25	1335.95
561722.31	2911269.25	1335.93
561722.63	2911267.75	1335.55
561722.50	2911266.50	1335.60
561722.31	2911264.75	1335.72
561722.81	2911262.00	1334.98
561717.81	2911265.75	1340.87
561713.06	2911255.00	1345.87
561701.44	2911263.25	1357.68
561724.19	2911257.00	1333.19
